s,p,o,weight,model,source
ex:person_24,ex:domain_knowledge,ex:issuer9,1.0,,before
ex:person_23,ex:domain_knowledge,ex:issuer9,1.0,,before
ex:person_1,ex:domain_knowledge,ex:issuer3,1.0,,before
ex:person_1,ex:domain_knowledge,ex:issuer5,1.0,,before
ex:person_1,ex:domain_knowledge,ex:issuer7,1.0,,before
ex:coin1,ex:issuer,ex:issuer9,1.0,,before
ex:coin1,ex:issuing_for,ex:person_1,1.0,,before
ex:coin1,ex:issuing_for,ex:uncertain,1.0,,before
ex:coin2,ex:issuer,ex:issuer9,1.0,,before
ex:coin2,ex:issuing_for,ex:uncertain,1.0,,before
ex:coin2,ex:issuing_for,ex:person_4,1.0,,before
ex:person_4,ex:domain_knowledge,ex:issuer3,1.0,,before
ex:person_4,ex:domain_knowledge,ex:issuer5,1.0,,before
ex:coin2,ex:issuing_for,ex:uncertain,0.047,,
ex:coin2,ex:issuing_for,ex:person_23,0.442,,
ex:coin2,ex:issuing_for,ex:person_24,0.442,,
ex:coin2,ex:issuing_for,ex:person_4,0.07,,
ex:coin1,ex:issuing_for,ex:uncertain,0.047,,
ex:coin1,ex:issuing_for,ex:person_23,0.442,,
ex:coin1,ex:issuing_for,ex:person_24,0.442,,
ex:coin1,ex:issuing_for,ex:person_1,0.07,,
ex:coin2,ex:issuer,ex:uncertain,0.125,,
ex:coin2,ex:issuer,ex:issuer5,0.188,,
ex:coin2,ex:issuer,ex:issuer3,0.188,,
ex:coin2,ex:issuer,ex:issuer9,0.5,,
ex:coin1,ex:issuer,ex:uncertain,0.16,,
ex:coin1,ex:issuer,ex:issuer7,0.065,,
ex:coin1,ex:issuer,ex:issuer5,0.065,,
ex:coin1,ex:issuer,ex:issuer3,0.065,,
ex:coin1,ex:issuer,ex:issuer9,0.642,,
