s,p,o,weight,model
ex:coin2,ex:issuer,ex:uncertain,0.059,uncertainty_reasoner
ex:coin1,ex:issuer,ex:uncertain,0.07,uncertainty_reasoner
ex:coin1,ex:issuer,ex:issuer7,0.093,uncertainty_reasoner
ex:coin1,ex:issuer,ex:issuer5,0.093,uncertainty_reasoner
ex:coin2,ex:issuer,ex:issuer5,0.118,uncertainty_reasoner
ex:issuer1,ex:domain_knowledge,ex:issuer7,0.333,uncertainty_reasoner
ex:issuer1,ex:domain_knowledge,ex:issuer5,0.333,uncertainty_reasoner
ex:issuer1,ex:domain_knowledge,ex:issuer3,0.333,uncertainty_reasoner
ex:issuer4,ex:domain_knowledge,ex:issuer3,0.5,uncertainty_reasoner
ex:issuer4,ex:domain_knowledge,ex:issuer5,0.5,uncertainty_reasoner
ex:coin1,ex:issuer,ex:issuer3,0.743,uncertainty_reasoner
ex:coin2,ex:issuer,ex:issuer3,0.824,uncertainty_reasoner
ex:issuer1,ex:domain_knowledge,ex:issuer5,1.0,
ex:issuer1,ex:domain_knowledge,ex:issuer3,1.0,
ex:coin2,ex:issuing_for,ex:issuer4,1.0,
ex:coin2,ex:issuer,ex:issuer3,1.0,
ex:coin1,ex:issuing_for,ex:issuer1,1.0,
ex:coin1,ex:issuer,ex:issuer3,1.0,
ex:issuer4,ex:domain_knowledge,ex:issuer5,1.0,
ex:issuer1,ex:domain_knowledge,ex:issuer7,1.0,
ex:issuer4,ex:domain_knowledge,ex:issuer3,1.0,
