s,p,o,weight,model
ex:coin2,ex:issuer,ex:uncertain,0.028,uncertainty_reasoner
ex:coin1,ex:issuer,ex:uncertain,0.032,uncertainty_reasoner
ex:coin2,ex:issuing_for,ex:issuer1,0.071,uncertainty_reasoner
ex:coin1,ex:issuing_for,ex:uncertain,0.071,uncertainty_reasoner
ex:coin1,ex:issuing_for,ex:issuer4,0.107,uncertainty_reasoner
ex:coin2,ex:issuing_for,ex:uncertain,0.115,uncertainty_reasoner
ex:coin1,ex:issuer,ex:issuer7,0.204,uncertainty_reasoner
ex:coin1,ex:issuer,ex:issuer5,0.204,uncertainty_reasoner
ex:coin2,ex:issuer,ex:issuer5,0.266,uncertainty_reasoner
ex:issuer1,ex:domain_knowledge,ex:issuer7,0.333,uncertainty_reasoner
ex:issuer1,ex:domain_knowledge,ex:issuer3,0.333,uncertainty_reasoner
ex:issuer1,ex:domain_knowledge,ex:issuer5,0.333,uncertainty_reasoner
ex:issuer5,ex:domain_knowledge,ex:issuer1,0.5,uncertainty_reasoner
ex:issuer5,ex:domain_knowledge,ex:issuer4,0.5,uncertainty_reasoner
ex:issuer3,ex:domain_knowledge,ex:issuer1,0.5,uncertainty_reasoner
ex:issuer3,ex:domain_knowledge,ex:issuer4,0.5,uncertainty_reasoner
ex:issuer4,ex:domain_knowledge,ex:issuer3,0.5,uncertainty_reasoner
ex:issuer4,ex:domain_knowledge,ex:issuer5,0.5,uncertainty_reasoner
ex:coin1,ex:issuer,ex:issuer3,0.558,uncertainty_reasoner
ex:coin2,ex:issuer,ex:issuer3,0.706,uncertainty_reasoner
ex:coin2,ex:issuing_for,ex:issuer4,0.814,uncertainty_reasoner
ex:coin1,ex:issuing_for,ex:issuer1,0.821,uncertainty_reasoner
ex:issuer4,ex:domain_knowledge,ex:issuer5,1.0,
ex:coin1,ex:issuer,ex:issuer3,1.0,
ex:coin1,ex:issuer,ex:uncertain,1.0,
ex:coin1,ex:issuing_for,ex:issuer1,1.0,
ex:coin2,ex:issuer,ex:uncertain,1.0,
ex:coin2,ex:issuing_for,ex:issuer4,1.0,
ex:issuer1,ex:domain_knowledge,ex:issuer3,1.0,
ex:issuer7,ex:domain_knowledge,ex:issuer1,1.0,uncertainty_reasoner
ex:issuer1,ex:domain_knowledge,ex:issuer5,1.0,
ex:issuer1,ex:domain_knowledge,ex:issuer7,1.0,
ex:coin2,ex:issuer,ex:issuer3,1.0,
ex:issuer4,ex:domain_knowledge,ex:issuer3,1.0,
